,Multiplication KL Divergence Poisson,Multiplication Euclidean Poisson,Multiplication KL Divergence Normal,Multiplication Euclidean Normal
0,0.15944808088851517,0.1597629496057292,0.15796033273894025,0.15777942918533913
1,0.15951442917094172,0.15997020720868696,0.15749141646302073,0.15703119092539172
2,0.15964147367025106,0.16004199823748735,0.1576801296927958,0.15758498519075317
0,0.15877519844516158,0.15953466379392914,0.1571445508039988,0.15761431699882858
1,0.1594087649555925,0.15926675268966342,0.15713401303382032,0.1571862431894538
2,0.15946537124218113,0.15981649961476038,0.15753201318885826,0.1571375702460341
0,0.15850948679793353,0.15869305545718104,0.15680419377580138,0.15646231209831582
1,0.15954678499765468,0.15965566533253853,0.15781225538446528,0.15725615373221294
2,0.15977359185086637,0.1597099183918348,0.15727742615244247,0.15738811365768823
0,0.1597116897821624,0.15947682728316753,0.15750374607660322,0.15776922189529316
1,0.15996679203246802,0.16064784437165935,0.15791863548773621,0.15822783582281696
2,0.15900433790219548,0.15889843965753728,0.15717311799847,0.15705653961049065
0,0.1591099800775768,0.15953495517651906,0.15710262042722978,0.1565251074798533
1,0.15863915497802353,0.15860309485271132,0.15683170340411992,0.15654548224954107
2,0.15931820841009214,0.1592959305660927,0.15678081262795512,0.15672381140596778
0,0.1584206230115933,0.158608800909433,0.15628073949312518,0.15663560821234818
1,0.15976111084503256,0.16020704898747634,0.1581383651539961,0.15766301562386578
2,0.15912664403053164,0.15838053942579217,0.1570473275975332,0.1567993917374391
0,0.1587781221143779,0.159176568091666,0.1568033216909496,0.1568423203657933
1,0.1596458831232786,0.15990741509338843,0.15753078321299935,0.15728476127084273
2,0.15994097136055407,0.15993531895236374,0.15799820531543038,0.15757924508847906
0,0.1589000094198502,0.15927721939110553,0.1569047325758824,0.156593494411898
1,0.15942953248820319,0.1593997183746186,0.15705419649462535,0.15725061075377547
2,0.16000752898955695,0.16001697749899757,0.15815647789250403,0.1575190628023409
0,0.1590631285679424,0.15904488331160815,0.15705709895975348,0.15648246400794397
1,0.15973642176978167,0.16015056522253251,0.15815106052521438,0.1573925825401868
2,0.159413827859214,0.15992157264100326,0.15772557098430914,0.15792441182411152
0,0.1591865098835106,0.1598907376043248,0.15748615659130696,0.15750637347368784
1,0.1584068539137893,0.1584195044598235,0.15640272266497274,0.15627697820689743
2,0.15973350950052254,0.1598626213359106,0.15777268299106337,0.1573159808921752
0,0.1595884516973104,0.1599503869239131,0.1573833969585566,0.1574996140186508
1,0.15844143817744227,0.1586433522287746,0.15631909540123684,0.15674977291937003
2,0.15912458617453362,0.15976241291958135,0.15763950921908043,0.15762848338765723
0,0.1589324632584745,0.159093075982585,0.15667578673600943,0.15717857340716712
1,0.15810750717566344,0.15899652018500554,0.15643526002416805,0.15661831710223947
2,0.16018948162806998,0.16027345518721267,0.15793165832722791,0.1576943284274223
0,0.15925660911408218,0.15899082233437187,0.15729353139482524,0.15713646421367486
1,0.1593032828244268,0.15946207430284237,0.15702456946701718,0.15675964010658142
2,0.15957052882599207,0.1597889642347064,0.15724207951575728,0.15754029095882732
