,rre,acc,nmi
Multiplication Euclidean No Noise,0.15825691556020421,0.7363541666666666,0.8535908215629163
Multiplication Euclidean Normal,0.2924569426413858,0.4470138888888888,0.6211558866734922
Multiplication Euclidean Poisson,0.16112984302049466,0.7313194444444445,0.8492536405178184
Multiplication Euclidean Salt and Pepper,0.2635804041526521,0.509375,0.6720931234236209
Multiplication KL Divergence No Noise,0.172907489137257,0.7405555555555555,0.8599160878820677
Multiplication KL Divergence Normal,0.2977442397660933,0.45381944444444444,0.6209129756028151
Multiplication KL Divergence Poisson,0.1601742943581443,0.7417361111111112,0.8572524847511553
Multiplication KL Divergence Salt and Pepper,0.264024765041659,0.5088541666666666,0.6733769099575078
