,rre,acc,nmi
Multiplication Euclidean Normal,"[0.15654682118446864, 0.15679272568594066, 0.1571888302083199, 0.15707370441374818, 0.15690374874350138, 0.15789665312645268, 0.1564667606368874, 0.15670887336534356, 0.15695548931379183, 0.15579298171750114]","[0.7222222222222222, 0.7194444444444444, 0.7111111111111111, 0.7472222222222222, 0.7694444444444445, 0.7055555555555556, 0.7305555555555555, 0.7472222222222222, 0.6944444444444444, 0.7388888888888889]","[0.8380182746312036, 0.8466125403787451, 0.8475061591593728, 0.8495892616784999, 0.86028507253475, 0.849010920884035, 0.8579258649220649, 0.861202953765536, 0.8357433756122419, 0.846936657186114]"
Multiplication Euclidean Poisson,"[0.158598672533256, 0.15863691425952625, 0.15941835984061026, 0.15978481858007676, 0.15900111886550072, 0.16038664838819772, 0.1586621053549334, 0.15858415696990058, 0.15939837516181166, 0.1589420169674228]","[0.7027777777777777, 0.7333333333333333, 0.7083333333333334, 0.7166666666666667, 0.7611111111111111, 0.7388888888888889, 0.7111111111111111, 0.7416666666666667, 0.7472222222222222, 0.6888888888888889]","[0.8324656663280402, 0.8489175551682031, 0.8424817913705291, 0.8395953928287007, 0.8590324411876726, 0.856731162795568, 0.8362788271651866, 0.8598149288735368, 0.8653960456319972, 0.8346193256379589]"
Multiplication KL Divergence Normal,"[0.156818761646488, 0.156541244035283, 0.15752141369568082, 0.15738301999036516, 0.15679054672082607, 0.15810608520808425, 0.15661434709194236, 0.15661810350466193, 0.15747691964308835, 0.1565167200400839]","[0.7194444444444444, 0.7666666666666667, 0.7638888888888888, 0.7333333333333333, 0.7722222222222223, 0.7222222222222222, 0.7194444444444444, 0.6666666666666666, 0.7, 0.7194444444444444]","[0.8467812862375714, 0.8761567227565742, 0.867389113142233, 0.8515183878125985, 0.8753119052625489, 0.8594384488007666, 0.8420077525438596, 0.8280886557631838, 0.8407784589294857, 0.8413350004057703]"
Multiplication KL Divergence Poisson,"[0.1587401613462047, 0.15828277992216233, 0.15907189246286596, 0.15943874589408838, 0.15899812879583225, 0.1598650894536636, 0.15860561989996766, 0.15874294213510645, 0.15989325896630693, 0.1582356280730337]","[0.7138888888888889, 0.7722222222222223, 0.7805555555555556, 0.7361111111111112, 0.7416666666666667, 0.7527777777777778, 0.7166666666666667, 0.7277777777777777, 0.7055555555555556, 0.7777777777777778]","[0.8333942485158031, 0.8758454094681166, 0.8630915504772676, 0.8502008276258658, 0.8699399475017936, 0.8685285670612239, 0.8467147302213591, 0.8423479048520177, 0.8458562022766436, 0.880548375361541]"
