,Multiplication KL Divergence Poisson,Multiplication Euclidean Poisson,Multiplication KL Divergence Normal,Multiplication Euclidean Normal
0,0.8272224382427626,0.8183819628971086,0.8501628445685009,0.853180987550423
1,0.8439364340970582,0.8747991966070888,0.8445252681553747,0.8383417901830285
2,0.8635355731149796,0.8583710407707845,0.8604301665757902,0.8521410181057946
0,0.8486100024097786,0.8318521770044562,0.8589230593754952,0.8456134335525175
1,0.849360126715323,0.8472641907504651,0.8576628918797335,0.8450947115712361
2,0.8508378801692031,0.8531974328788692,0.859386730952295,0.8399935063956593
0,0.8522509595497794,0.8625800321083469,0.878867099712786,0.8551376641601324
1,0.8813900977001076,0.8461996911841635,0.895414533292643,0.8439356057309361
2,0.8710136833872942,0.8477514899743386,0.8786344913008404,0.8404273878142163
0,0.864886468004939,0.8477514880198115,0.830793883524445,0.8689719940726608
1,0.840995125414917,0.8584834846519707,0.8307708167833092,0.8839185334723129
2,0.8818820031144113,0.8723265850165295,0.8565076528900554,0.8521595882256029
0,0.8579099282363635,0.847884035897932,0.8195228755383093,0.8384607487786324
1,0.8379942881719882,0.8401613853358646,0.8651810750213728,0.8550178280651956
2,0.8664454943490788,0.8621685543079509,0.8613083177776195,0.8670365112797989
0,0.8548264690507379,0.8126588894895663,0.8453782355325942,0.8447798917197598
1,0.8628718593055258,0.8299242096297552,0.8679438844198081,0.8271764594122974
2,0.8392658715261059,0.8445863731988744,0.8542829642420071,0.8356239944254826
0,0.8493303870061464,0.8228387332618078,0.8708008828262364,0.842566351189355
1,0.858075971159431,0.8304536618860459,0.8498432545373368,0.8512182219837264
2,0.859367216174765,0.8558748884386753,0.8659136395276676,0.8494391244695936
0,0.869627203365698,0.8584057112271959,0.8594724697583134,0.8641645541639703
1,0.8406908838589433,0.862880169186578,0.8280797841507442,0.8557391558139983
2,0.8643942350966201,0.8593340068071648,0.8542817960410897,0.8269058603193588
0,0.8621432912230099,0.8437448325001723,0.8488324751516122,0.8702968791275505
1,0.873349976463813,0.8856539833819074,0.8596564337823754,0.8329787244829457
2,0.8601226067385193,0.8310582487128156,0.8418352405002797,0.8640250730478259
0,0.8569404072893105,0.8540620813415085,0.8668944606970221,0.8417915733461192
1,0.8491490874553205,0.859486898104326,0.8572149988947468,0.8284162434217809
2,0.8639606476556377,0.8625901082277242,0.8566332400359369,0.8579622694476415
0,0.8788932488457633,0.8424428181669749,0.8981245255401828,0.8728025552310039
1,0.8516203072588852,0.8744979997920709,0.8540055049966022,0.8356132944077408
2,0.8796551962350081,0.859357938297442,0.863029793037009,0.8503436565631011
0,0.839756907023946,0.8584850016203611,0.8471690478297945,0.8472084411652774
1,0.8565412206529879,0.8371178793132792,0.8398381924470569,0.830600845003953
2,0.8699879842639395,0.8706432902242667,0.8720784196668248,0.8569475202365372
0,0.8679205442973487,0.8225989556391571,0.8783964019488432,0.8318546439517905
1,0.8611329338224044,0.8695687495353427,0.8616687926043021,0.8602801327554376
2,0.8415124755607751,0.8389992881334324,0.8587532095414978,0.8390797007531982
0,0.8819174237893401,0.8293363731052275,0.8425673791997826,0.8647951742867472
1,0.8494630785415459,0.8441418195270176,0.8598789312587023,0.8665891470608978
2,0.8612357027911727,0.8350284549308034,0.8376035045305941,0.8517996247191969
0,0.8441831068639896,0.8445943756242598,0.8616265846641584,0.8376277071886242
1,0.8732910272500317,0.8309262478722091,0.8612474751551207,0.864218675204954
2,0.8591484789102644,0.8454049314253336,0.8533050737441251,0.8460583869081992
0,0.8649427785443725,0.8372979551907166,0.8445256009141712,0.8431665386270166
1,0.8474861667707728,0.8253850216919391,0.8640387981917197,0.8275611836081493
2,0.85777194821813,0.8334632260614211,0.8446421272072823,0.8604454439128685
0,0.8304722146359302,0.8564431406437562,0.8356552614699044,0.868570481561931
1,0.845396327850575,0.8406441780168948,0.8758836323686193,0.8489120571348633
2,0.8480133122725055,0.8598088239061541,0.8966707688541601,0.8343582967390878
0,0.8813404839456138,0.8361150408166738,0.8961874845546258,0.8640047199970504
1,0.8609861562766308,0.8556693707279373,0.8606510450062012,0.8691239171340799
2,0.8613324262707378,0.8401803923347705,0.8363834113823303,0.8289015667299069
0,0.8490319321484414,0.8336925516398987,0.8613230847583369,0.8638125313656219
1,0.8612284423548107,0.8431983450223017,0.8391412265295408,0.8602892635103732
2,0.8374928506821618,0.8400683848086463,0.8530242655976211,0.830921268864248
0,0.8415965025161986,0.8710697509977678,0.8593067124073865,0.8272568482231
1,0.8689683745604381,0.8527656966490541,0.8308824725916821,0.8435672175906594
2,0.8519669162244018,0.8498922771803987,0.8564670951398385,0.8445633561153731
0,0.8449772877995454,0.8472245128021172,0.8397620936759824,0.8358141189275909
1,0.8563048821515394,0.8169834934051742,0.838358499409072,0.8480671380673257
2,0.8488438237622874,0.8567689067559142,0.8784080925761724,0.8369513982915371
0,0.8462726169723431,0.8586817565320988,0.8646293467517278,0.8452115914896782
1,0.8716172807808662,0.8626768715277586,0.8371906878553589,0.8679786527151643
2,0.8423285828688594,0.8431095835102412,0.8595084470743175,0.8619052758861477
0,0.8390637520495668,0.8317995396273556,0.845214490695195,0.8721436587317738
1,0.8400510532481972,0.8425739458430405,0.829514729871852,0.8527261846293647
2,0.8496863671731056,0.8642783875687977,0.8523910072670009,0.8439472395821214
0,0.8417564184341785,0.844382945002067,0.85227241085486,0.8260165633037158
1,0.8501111890601442,0.8564602194440953,0.8362227259431365,0.8624544298127907
2,0.8434659632698485,0.8408306061397594,0.8639055309921586,0.826886966469257
0,0.8760205340914841,0.8378804825236854,0.8534559661590568,0.8596711712590167
1,0.8719636623941588,0.8700700035013305,0.8436339067641452,0.8508814410733657
2,0.8393575600618006,0.824420817494359,0.8292997921226406,0.8200317568545004
0,0.8427131146655025,0.8362462623212165,0.8388782315809942,0.8252008260552557
1,0.8805743098509595,0.8645941938914998,0.8632190486813557,0.8426320721077484
2,0.8733489421001202,0.8262894010980244,0.8631986437200485,0.8196567369060648
0,0.8468551529681774,0.8439751256546478,0.8672132000477227,0.8497005550627768
1,0.8424195886591157,0.8479905158444728,0.8286899651530858,0.8348520823407298
