,rre,acc,nmi
Multiplication Euclidean Normal,0.9964570218594653,0.17916666666666667,0.35181772515011067
Multiplication Euclidean Poisson,0.9966965620052366,0.1736111111111111,0.34302975252281087
Multiplication KL Divergence Normal,0.9964468995256182,0.19027777777777777,0.36293727678014603
Multiplication KL Divergence Poisson,0.9966874396396261,0.18611111111111112,0.34266756554044964
