,rre,acc,nmi
Multiplication Euclidean No Noise,0.20222486368489342,0.23772252915899325,0.32037059598404244
Multiplication Euclidean Normal,0.311431649751542,0.2116329036218539,0.27769724580484817
Multiplication Euclidean Poisson,0.2023335054584555,0.24416820135052178,0.3241300930476518
Multiplication Euclidean Salt and Pepper,0.2974816042348301,0.21332105586249236,0.29016855172353734
Multiplication KL Divergence No Noise,0.20622791644170926,0.24340085942295886,0.31907002612254437
Multiplication KL Divergence Normal,0.31061440469391144,0.21117249846531613,0.2845122013927454
Multiplication KL Divergence Poisson,0.20645502533123214,0.23772252915899325,0.31037474951311556
Multiplication KL Divergence Salt and Pepper,0.3164476129580826,0.1634438305709024,0.23320127597341522
