Multiplication KL Divergence No Noise,0.2066,0.2063,0.2058
Multiplication Euclidean No Noise,0.2021,0.2022,0.2024
Multiplication KL Divergence Poisson,0.2058,0.2068,0.2068
Multiplication Euclidean Poisson,0.2025,0.2019,0.2026
Multiplication KL Divergence Normal,0.3114,0.3108,0.3096
Multiplication Euclidean Normal,0.3119,0.3125,0.3099
Multiplication KL Divergence Salt and Pepper,0.3168,0.3174,0.3152
Multiplication Euclidean Salt and Pepper,0.2979,0.2973,0.2972
