,rre,acc,nmi
Multiplication Euclidean Normal,0.30968486157791303,0.21243093922651934,0.2769586892366542
Multiplication Euclidean Poisson,0.20071178383733237,0.23885819521178636,0.32230694353576766
Multiplication KL Divergence Normal,0.30929818885012583,0.21206261510128913,0.2793108213685508
Multiplication KL Divergence Poisson,0.20514584085513254,0.24861878453038672,0.318609363912834
